sepal_length,sepal_width,petal_length,petal_width,species,ID
5.1,3.5,1.4,0.2,setosa,20240223222644_1
4.9,3.0,1.4,0.2,setosa,20240223222644_2
4.7,3.2,1.3,0.2,setosa,20240223222644_3
4.6,3.1,1.5,0.2,setosa,20240223222644_4
5.0,3.6,1.4,0.2,setosa,20240223222644_5
5.4,3.9,1.7,0.4,setosa,20240223222644_6
4.6,3.4,1.4,0.3,setosa,20240223222644_7
5.0,3.4,1.5,0.2,setosa,20240223222644_8
4.4,2.9,1.4,0.2,setosa,20240223222644_9
4.9,3.1,1.5,0.1,setosa,20240223222644_10
5.4,3.7,1.5,0.2,setosa,20240223222644_11
4.8,3.4,1.6,0.2,setosa,20240223222644_12
4.8,3.0,1.4,0.1,setosa,20240223222644_13
4.3,3.0,1.1,0.1,setosa,20240223222644_14
5.8,4.0,1.2,0.2,setosa,20240223222644_15
5.7,4.4,1.5,0.4,setosa,20240223222644_16
5.4,3.9,1.3,0.4,setosa,20240223222644_17
5.1,3.5,1.4,0.3,setosa,20240223222644_18
5.7,3.8,1.7,0.3,setosa,20240223222644_19
5.1,3.8,1.5,0.3,setosa,20240223222644_20
5.4,3.4,1.7,0.2,setosa,20240223222644_21
5.1,3.7,1.5,0.4,setosa,20240223222644_22
4.6,3.6,1.0,0.2,setosa,20240223222644_23
5.1,3.3,1.7,0.5,setosa,20240223222644_24
4.8,3.4,1.9,0.2,setosa,20240223222644_25
5.0,3.0,1.6,0.2,setosa,20240223222644_26
5.0,3.4,1.6,0.4,setosa,20240223222644_27
5.2,3.5,1.5,0.2,setosa,20240223222644_28
5.2,3.4,1.4,0.2,setosa,20240223222644_29
4.7,3.2,1.6,0.2,setosa,20240223222644_30
4.8,3.1,1.6,0.2,setosa,20240223222644_31
5.4,3.4,1.5,0.4,setosa,20240223222644_32
5.2,4.1,1.5,0.1,setosa,20240223222644_33
5.5,4.2,1.4,0.2,setosa,20240223222644_34
4.9,3.1,1.5,0.2,setosa,20240223222644_35
5.0,3.2,1.2,0.2,setosa,20240223222644_36
5.5,3.5,1.3,0.2,setosa,20240223222644_37
4.9,3.6,1.4,0.1,setosa,20240223222644_38
4.4,3.0,1.3,0.2,setosa,20240223222644_39
5.1,3.4,1.5,0.2,setosa,20240223222644_40
5.0,3.5,1.3,0.3,setosa,20240223222644_41
4.5,2.3,1.3,0.3,setosa,20240223222644_42
4.4,3.2,1.3,0.2,setosa,20240223222644_43
5.0,3.5,1.6,0.6,setosa,20240223222644_44
5.1,3.8,1.9,0.4,setosa,20240223222644_45
4.8,3.0,1.4,0.3,setosa,20240223222644_46
5.1,3.8,1.6,0.2,setosa,20240223222644_47
4.6,3.2,1.4,0.2,setosa,20240223222644_48
5.3,3.7,1.5,0.2,setosa,20240223222644_49
5.0,3.3,1.4,0.2,setosa,20240223222644_50
7.0,3.2,4.7,1.4,versicolor,20240223222644_51
6.4,3.2,4.5,1.5,versicolor,20240223222644_52
6.9,3.1,4.9,1.5,versicolor,20240223222644_53
5.5,2.3,4.0,1.3,versicolor,20240223222644_54
6.5,2.8,4.6,1.5,versicolor,20240223222644_55
5.7,2.8,4.5,1.3,versicolor,20240223222644_56
6.3,3.3,4.7,1.6,versicolor,20240223222644_57
4.9,2.4,3.3,1.0,versicolor,20240223222644_58
6.6,2.9,4.6,1.3,versicolor,20240223222644_59
5.2,2.7,3.9,1.4,versicolor,20240223222644_60
5.0,2.0,3.5,1.0,versicolor,20240223222644_61
5.9,3.0,4.2,1.5,versicolor,20240223222644_62
6.0,2.2,4.0,1.0,versicolor,20240223222644_63
6.1,2.9,4.7,1.4,versicolor,20240223222644_64
5.6,2.9,3.6,1.3,versicolor,20240223222644_65
6.7,3.1,4.4,1.4,versicolor,20240223222644_66
5.6,3.0,4.5,1.5,versicolor,20240223222644_67
5.8,2.7,4.1,1.0,versicolor,20240223222644_68
6.2,2.2,4.5,1.5,versicolor,20240223222644_69
5.6,2.5,3.9,1.1,versicolor,20240223222644_70
5.9,3.2,4.8,1.8,versicolor,20240223222644_71
6.1,2.8,4.0,1.3,versicolor,20240223222644_72
6.3,2.5,4.9,1.5,versicolor,20240223222644_73
6.1,2.8,4.7,1.2,versicolor,20240223222644_74
6.4,2.9,4.3,1.3,versicolor,20240223222644_75
6.6,3.0,4.4,1.4,versicolor,20240223222644_76
6.8,2.8,4.8,1.4,versicolor,20240223222644_77
6.7,3.0,5.0,1.7,versicolor,20240223222644_78
6.0,2.9,4.5,1.5,versicolor,20240223222644_79
