sepal_length,sepal_width,petal_length,petal_width,species,ID
5.1,3.5,1.4,0.2,setosa,20240224180104_1
4.9,3.0,1.4,0.2,setosa,20240224180104_2
4.7,3.2,1.3,0.2,setosa,20240224180104_3
4.6,3.1,1.5,0.2,setosa,20240224180104_4
5.0,3.6,1.4,0.2,setosa,20240224180104_5
5.4,3.9,1.7,0.4,setosa,20240224180104_6
4.6,3.4,1.4,0.3,setosa,20240224180104_7
5.0,3.4,1.5,0.2,setosa,20240224180104_8
4.4,2.9,1.4,0.2,setosa,20240224180104_9
4.9,3.1,1.5,0.1,setosa,20240224180104_10
5.4,3.7,1.5,0.2,setosa,20240224180104_11
4.8,3.4,1.6,0.2,setosa,20240224180104_12
4.8,3.0,1.4,0.1,setosa,20240224180104_13
4.3,3.0,1.1,0.1,setosa,20240224180104_14
5.8,4.0,1.2,0.2,setosa,20240224180104_15
5.7,4.4,1.5,0.4,setosa,20240224180104_16
5.4,3.9,1.3,0.4,setosa,20240224180104_17
5.1,3.5,1.4,0.3,setosa,20240224180104_18
5.7,3.8,1.7,0.3,setosa,20240224180104_19
5.1,3.8,1.5,0.3,setosa,20240224180104_20
5.4,3.4,1.7,0.2,setosa,20240224180104_21
5.1,3.7,1.5,0.4,setosa,20240224180104_22
4.6,3.6,1.0,0.2,setosa,20240224180104_23
5.1,3.3,1.7,0.5,setosa,20240224180104_24
4.8,3.4,1.9,0.2,setosa,20240224180104_25
5.0,3.0,1.6,0.2,setosa,20240224180104_26
5.0,3.4,1.6,0.4,setosa,20240224180104_27
5.2,3.5,1.5,0.2,setosa,20240224180104_28
5.2,3.4,1.4,0.2,setosa,20240224180104_29
4.7,3.2,1.6,0.2,setosa,20240224180104_30
4.8,3.1,1.6,0.2,setosa,20240224180104_31
5.4,3.4,1.5,0.4,setosa,20240224180104_32
5.2,4.1,1.5,0.1,setosa,20240224180104_33
5.5,4.2,1.4,0.2,setosa,20240224180104_34
4.9,3.1,1.5,0.2,setosa,20240224180104_35
5.0,3.2,1.2,0.2,setosa,20240224180104_36
5.5,3.5,1.3,0.2,setosa,20240224180104_37
4.9,3.6,1.4,0.1,setosa,20240224180104_38
4.4,3.0,1.3,0.2,setosa,20240224180104_39
5.1,3.4,1.5,0.2,setosa,20240224180104_40
5.0,3.5,1.3,0.3,setosa,20240224180104_41
4.5,2.3,1.3,0.3,setosa,20240224180104_42
4.4,3.2,1.3,0.2,setosa,20240224180104_43
5.0,3.5,1.6,0.6,setosa,20240224180104_44
5.1,3.8,1.9,0.4,setosa,20240224180104_45
4.8,3.0,1.4,0.3,setosa,20240224180104_46
5.1,3.8,1.6,0.2,setosa,20240224180104_47
4.6,3.2,1.4,0.2,setosa,20240224180104_48
5.3,3.7,1.5,0.2,setosa,20240224180104_49
5.0,3.3,1.4,0.2,setosa,20240224180104_50
7.0,3.2,4.7,1.4,versicolor,20240224180104_51
6.4,3.2,4.5,1.5,versicolor,20240224180104_52
6.9,3.1,4.9,1.5,versicolor,20240224180104_53
5.5,2.3,4.0,1.3,versicolor,20240224180104_54
6.5,2.8,4.6,1.5,versicolor,20240224180104_55
5.7,2.8,4.5,1.3,versicolor,20240224180104_56
6.3,3.3,4.7,1.6,versicolor,20240224180104_57
4.9,2.4,3.3,1.0,versicolor,20240224180104_58
6.6,2.9,4.6,1.3,versicolor,20240224180104_59
5.2,2.7,3.9,1.4,versicolor,20240224180104_60
5.0,2.0,3.5,1.0,versicolor,20240224180104_61
5.9,3.0,4.2,1.5,versicolor,20240224180104_62
6.0,2.2,4.0,1.0,versicolor,20240224180104_63
6.1,2.9,4.7,1.4,versicolor,20240224180104_64
5.6,2.9,3.6,1.3,versicolor,20240224180104_65
6.7,3.1,4.4,1.4,versicolor,20240224180104_66
5.6,3.0,4.5,1.5,versicolor,20240224180104_67
5.8,2.7,4.1,1.0,versicolor,20240224180104_68
6.2,2.2,4.5,1.5,versicolor,20240224180104_69
5.6,2.5,3.9,1.1,versicolor,20240224180104_70
5.9,3.2,4.8,1.8,versicolor,20240224180104_71
6.1,2.8,4.0,1.3,versicolor,20240224180104_72
6.3,2.5,4.9,1.5,versicolor,20240224180104_73
6.1,2.8,4.7,1.2,versicolor,20240224180104_74
6.4,2.9,4.3,1.3,versicolor,20240224180104_75
6.6,3.0,4.4,1.4,versicolor,20240224180104_76
6.8,2.8,4.8,1.4,versicolor,20240224180104_77
6.7,3.0,5.0,1.7,versicolor,20240224180104_78
6.0,2.9,4.5,1.5,versicolor,20240224180104_79
5.7,2.6,3.5,1.0,versicolor,20240224180104_80
5.5,2.4,3.8,1.1,versicolor,20240224180104_81
5.5,2.4,3.7,1.0,versicolor,20240224180104_82
5.8,2.7,3.9,1.2,versicolor,20240224180104_83
6.0,2.7,5.1,1.6,versicolor,20240224180104_84
5.4,3.0,4.5,1.5,versicolor,20240224180104_85
6.0,3.4,4.5,1.6,versicolor,20240224180104_86
6.7,3.1,4.7,1.5,versicolor,20240224180104_87
6.3,2.3,4.4,1.3,versicolor,20240224180104_88
5.6,3.0,4.1,1.3,versicolor,20240224180104_89
5.5,2.5,4.0,1.3,versicolor,20240224180104_90
5.5,2.6,4.4,1.2,versicolor,20240224180104_91
6.1,3.0,4.6,1.4,versicolor,20240224180104_92
5.8,2.6,4.0,1.2,versicolor,20240224180104_93
5.0,2.3,3.3,1.0,versicolor,20240224180104_94
5.6,2.7,4.2,1.3,versicolor,20240224180104_95
5.7,3.0,4.2,1.2,versicolor,20240224180104_96
5.7,2.9,4.2,1.3,versicolor,20240224180104_97
6.2,2.9,4.3,1.3,versicolor,20240224180104_98
5.1,2.5,3.0,1.1,versicolor,20240224180104_99
5.7,2.8,4.1,1.3,versicolor,20240224180104_100
6.3,3.3,6.0,2.5,virginica,20240224180104_101
5.8,2.7,5.1,1.9,virginica,20240224180104_102
7.1,3.0,5.9,2.1,virginica,20240224180104_103
6.3,2.9,5.6,1.8,virginica,20240224180104_104
6.5,3.0,5.8,2.2,virginica,20240224180104_105
7.6,3.0,6.6,2.1,virginica,20240224180104_106
4.9,2.5,4.5,1.7,virginica,20240224180104_107
7.3,2.9,6.3,1.8,virginica,20240224180104_108
6.7,2.5,5.8,1.8,virginica,20240224180104_109
7.2,3.6,6.1,2.5,virginica,20240224180104_110
6.5,3.2,5.1,2.0,virginica,20240224180104_111
6.4,2.7,5.3,1.9,virginica,20240224180104_112
6.8,3.0,5.5,2.1,virginica,20240224180104_113
5.7,2.5,5.0,2.0,virginica,20240224180104_114
5.8,2.8,5.1,2.4,virginica,20240224180104_115
6.4,3.2,5.3,2.3,virginica,20240224180104_116
6.5,3.0,5.5,1.8,virginica,20240224180104_117
7.7,3.8,6.7,2.2,virginica,20240224180104_118
7.7,2.6,6.9,2.3,virginica,20240224180104_119
6.0,2.2,5.0,1.5,virginica,20240224180104_120
6.9,3.2,5.7,2.3,virginica,20240224180104_121
5.6,2.8,4.9,2.0,virginica,20240224180104_122
7.7,2.8,6.7,2.0,virginica,20240224180104_123
6.3,2.7,4.9,1.8,virginica,20240224180104_124
6.7,3.3,5.7,2.1,virginica,20240224180104_125
7.2,3.2,6.0,1.8,virginica,20240224180104_126
6.2,2.8,4.8,1.8,virginica,20240224180104_127
6.1,3.0,4.9,1.8,virginica,20240224180104_128
6.4,2.8,5.6,2.1,virginica,20240224180104_129
7.2,3.0,5.8,1.6,virginica,20240224180104_130
7.4,2.8,6.1,1.9,virginica,20240224180104_131
7.9,3.8,6.4,2.0,virginica,20240224180104_132
6.4,2.8,5.6,2.2,virginica,20240224180104_133
6.3,2.8,5.1,1.5,virginica,20240224180104_134
6.1,2.6,5.6,1.4,virginica,20240224180104_135
7.7,3.0,6.1,2.3,virginica,20240224180104_136
6.3,3.4,5.6,2.4,virginica,20240224180104_137
6.4,3.1,5.5,1.8,virginica,20240224180104_138
6.0,3.0,4.8,1.8,virginica,20240224180104_139
6.9,3.1,5.4,2.1,virginica,20240224180104_140
6.7,3.1,5.6,2.4,virginica,20240224180104_141
6.9,3.1,5.1,2.3,virginica,20240224180104_142
5.8,2.7,5.1,1.9,virginica,20240224180104_143
6.8,3.2,5.9,2.3,virginica,20240224180104_144
6.7,3.3,5.7,2.5,virginica,20240224180104_145
6.7,3.0,5.2,2.3,virginica,20240224180104_146
6.3,2.5,5.0,1.9,virginica,20240224180104_147
6.5,3.0,5.2,2.0,virginica,20240224180104_148
